[2026-01-14 11:34:56] 192.168.1.1 INACTIVE
[2026-01-14 11:42:05] 127.0.0.1 ACTIVE
[2026-01-14 11:42:06] localhost ACTIVE
[2026-01-14 11:42:12] 8.8.8.8 ACTIVE
[2026-01-14 11:42:30] 192.168.100.1 ACTIVE
[2026-01-14 11:43:11] 192.168.100.2 ACTIVE
[2026-01-14 11:43:19] 192.168.100.3 ACTIVE
[2026-01-14 11:43:26] 192.168.100.4 ACTIVE
[2026-01-14 11:43:34] 192.168.100.5 ACTIVE
[2026-01-14 11:43:43] 192.168.100.6 ACTIVE
[2026-01-14 11:43:52] 192.168.100.7 ACTIVE
[2026-01-14 12:59:56] 127.0.0.1 ACTIVE
[2026-01-14 12:59:56] localhost ACTIVE
[2026-01-14 13:00:02] 8.8.8.8 ACTIVE
[2026-01-14 13:00:19] 192.168.100.1 ACTIVE
[2026-01-14 13:00:27] 192.168.100.2 ACTIVE
[2026-01-14 13:00:34] 192.168.100.3 ACTIVE
[2026-01-14 13:00:42] 192.168.100.4 ACTIVE
[2026-01-14 13:58:24] 192.168.100.1 ACTIVE
[2026-01-14 13:58:32] 192.168.100.2 ACTIVE
[2026-01-14 14:35:58] 192.168.100.1 ACTIVE
[2026-01-14 14:36:06] 192.168.100.2 ACTIVE
[2026-01-14 14:36:14] 192.168.100.3 ACTIVE
